"Tanggal Pembelian","No Invoice","Nama Supplier","Nama Barang","Jumlah","Satuan","Harga Satuan","Total Harga","Harga Jual"
"2026-06-10","INV/2026/06/0101","Sumber Biru Unggas","Ayam Cut 1kg isi 10",254.6,"kg",29000,7383400,0
"2026-06-10","INV/2026/06/0102","Ida Minyak","Minyak Goreng",10,"liter",18500,185000,0
"2026-06-10","INV/2026/06/0103","Rudi Beras","Beras",120,"kg",14000,1680000,0
"2026-06-10","INV/2026/06/0104","Tedy Telur","Telur",3,"kg",23600,70800,0
"2026-06-10","INV/2026/06/0105","Yosua Buah","Buah Semangka",380,"kg",13000,4940000,0
"2026-06-10","INV/2026/06/0106","April Tahu","Tahu Putih Besar",1079,"Pcs",1000,1079000,0
"2026-06-10","INV/2026/06/0107","Ida Minyak","MInyak Goreng",60,"liter",18500,1110000,0
"2026-06-10","INV/2026/06/0108","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-10","INV/2026/06/0109","Yuyun Pagu","Tepung Terigu 25kg",1,"sack",221000,221000,0
"2026-06-10","INV/2026/06/0109","Yuyun Pagu","Kelapa utuh",20,"biji",7000,140000,0
"2026-06-10","INV/2026/06/0110","Lailita Ngasem","Tempe",95,"kotak",12000,1140000,0
"2026-06-10","INV/2026/06/0111","Lailita Ngasem","Kecap Bango 750gr",7,"Pcs",26600,186200,0
"2026-06-10","INV/2026/06/0111","Lailita Ngasem","Tepung Panir",30,"kg",17500,525000,0
"2026-06-11","INV/2026/06/0112","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-11","INV/2026/06/0113","Anto Tempe","Tempe",250,"pcs",5500,1375000,0
"2026-06-11","INV/2026/06/0114","Ida Minyak","Minyak Goreng",40,"liter",18500,740000,0
"2026-06-11","INV/2026/06/0115","Rudi Beras","Beras",90,"kg",14000,1260000,0
"2026-06-11","INV/2026/06/0116","April Tahu","Tahu Putih",1270,"pcs",1000,1270000,0
"2026-06-11","INV/2026/06/0117","Ida Minyak","Minyak Goreng",60,"liter",18500,1110000,0
"2026-06-14","INV/2026/06/0118","Tedy Telur","Telur Ayam",111,"kg",23700,2630700,0
"2026-06-15","INV/2026/06/0119","Tedy Telur","Telur Ayam",156,"kg",23700,3697200,0
"2026-06-15","INV/2026/06/0120","Siera Grosir Susu","Susu Frisian Flag",57,"karton",114000,6498000,0
"2026-06-15","INV/2026/06/0121","Rudi Beras","Beras",90,"kg",14000,1260000,0
"2026-06-15","INV/2026/06/0122","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-15","INV/2026/06/0123","Yosua Buah","Apel Manalagi",160,"kg",27000,4320000,0
"2026-06-15","INV/2026/06/0124","Yosua Buah","Buah Melon",380,"kg",13000,4940000,0
"2026-06-15","INV/2026/06/0125","Ida Minyak","Minyak Goreng",60,"liter",18500,1110000,0
"2026-06-15","INV/2026/06/0126","Ida Minyak","Minyak Goreng",20,"liter",18500,370000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Totole Kaldu Jamur",1,"kg",121000,121000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Delmonte Saos Tomat 1kg",5,"pcs",19000,95000,0
"2026-06-15","INV/2026/06/0127","Puji Sayur dan Buah Bumbu","Knorr Chicken",5,"kg",101000,505000,0
"2026-06-15","INV/2026/06/0128","Puji Sayur dan Buah Bumbu","Knorr Rostip",1,"kg",75000,75000,0
"2026-06-15","INV/2026/06/0129","April Tahu","Tahu Putih",1800,"pcs",1000,1800000,0
"2026-06-15","INV/2026/06/0131","Rom Sembako","Gula Pasir",5,"kg",16600,83000,0
"2026-06-15","INV/2026/06/0131","Rom Sembako","Tepung Maizena",8,"kg",13500,108000,0
"2026-06-15","INV/2026/06/0131","Rom Sembako","Garam Kapal",5,"pcs",1800,9000,0
"2026-06-15","INV/2026/06/0131","Rom Sembako","Ladaku Merica Bubuk 250gr",1,"Pcs",100000,100000,0
"2026-06-15","INV/2026/06/0132","Lailita Ngasem","Bawang Merah",8,"kg",44000,352000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Susu Frisian Flag",12,"biji",4000,48000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Daging Ayam",8,"kg",34000,272000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Tepung Terigu",5,"kg",9000,45000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Tepung Terigu Alfamidi",6,"kg",16000,96000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Bumbu-Bumbu",1,"pcs",70000,70000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Tomat",3,"kg",11000,33000,0
"2026-06-15","INV/2026/06/0133","Yuyun Pagu","Ayam kasaran 1/2 kg",1,"bks",35000,35000,0
"2026-06-16","INV/2026/06/0134","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-16","INV/2026/06/0135","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-16","INV/2026/06/0136","Siera Grosir Susu","Susu Frisian Flag Plain",70,"karton",114000,7980000,0
"2026-06-16","INV/2026/06/0137","Yosua Buah","Buah Semangka",380,"kg",12500,4750000,0
"2026-06-16","INV/2026/06/0138","Lailita Ngasem","Sawi Putih",21,"kg",10500,220500,0
"2026-06-16","INV/2026/06/0138","Lailita Ngasem","Wortel",15,"kg",19000,285000,0
"2026-06-16","INV/2026/06/0139","Anto Tempe","Tempe Besar",200,"pcs",5000,1000000,0
"2026-06-16","INV/2026/06/0140","Muchsieun Gas","Gas Pink",5,"tabung",230000,1150000,0
"2026-06-16","INV/2026/06/0141","Yuyun Pagu","Royco Ayam",5,"pcs",10000,50000,0
"2026-06-16","INV/2026/06/0141","Yuyun Pagu","Kaldu Ayam Totole",4,"pcs",12000,48000,0
"2026-06-16","INV/2026/06/0141","Yuyun Pagu","Kecap Sawi",1,"jerigen",190000,190000,0
"2026-06-16","INV/2026/06/0141","Yuyun Pagu","Sayur Capcay",1,"bungkus",50000,50000,0
"2026-06-10","INV/2026/06/0142","Puji Sayur dan Buah Bumbu","Knorr Chicken",5,"kg",101000,505000,0
"2026-06-10","INV/2026/06/0142","Puji Sayur dan Buah Bumbu","Totole Kaldu Jamur",2,"kg",121000,242000,0
"2026-06-10","INV/2026/06/0143","Rom Sembako","Ketumbar Bubuk 250gr",1,"pcs",20000,20000,0
"2026-06-10","INV/2026/06/0143","Rom Sembako","Garam Kapal",8,"pcs",1750,14000,0
"2026-06-10","INV/2026/06/0143","Rom Sembako","Bawang Putih Bubuk 250gr",2,"pcs",40000,80000,0
"2026-06-10","INV/2026/06/0143","Rom Sembako","Tepung Panir",10,"kg",17500,175000,0
"2026-06-10","INV/2026/06/0143","Rom Sembako","Saori Saos Tiram",3,"liter",60000,180000,0
"2026-06-11","INV/2026/06/0144","Muchsieun Gas","Gas Pink",8,"tabung",230000,1840000,0
"2026-06-11","INV/2026/06/0144","Tedy Telur","Telur Ayam",145.5,"Pcs",23600,3433800,0
"2026-06-11","INV/2026/06/0145","Yosua Buah","Jeruk Siem",274,"kg",14000,3836000,0
"2026-06-11","INV/2026/06/0146","Lailita Ngasem","Thinwall 200ml",1,"pack",24000,24000,0
"2026-06-11","INV/2026/06/0146","Lailita Ngasem","Bawang Merah",4,"kg",44000,176000,0
"2026-06-11","INV/2026/06/0147","Rom Sembako","Kecap Manis Sawi 15kg",8,"pcs",38000,304000,0
"2026-06-11","INV/2026/06/0147","Rom Sembako","Gula Pasir",5,"kg",16600,83000,0
"2026-06-11","INV/2026/06/0147","Rom Sembako","Gula Merah",9,"kg",13000,117000,0
"2026-06-11","INV/2026/06/0147","Rom Sembako","Teh Celup Sari Wangi",2,"pack",6000,12000,0
"2026-06-11","INV/2026/06/0147","Rom Sembako","Garam Kapal",8,"pcs",1750,14000,0
"2026-06-11","INV/2026/06/0148","Rom Sembako","Garam Halus",1,"ball",35000,35000,0
"2026-06-11","INV/2026/06/0148","Rom Sembako","Gula Putih",20,"kg",16600,332000,0
"2026-06-11","INV/2026/06/0148","Rom Sembako","Ajinomoto",1,"kg",50000,50000,0
"2026-06-11","INV/2026/06/0149","Siera Grosir Susu","Susu Frisian Flag",4,"karton",115000,460000,0
"2026-06-11","INV/2026/06/0150","Puji Sayur dan Buah Bumbu","Knorr Chicken",5,"kg",101000,505000,0
"2026-06-11","INV/2026/06/0150","Puji Sayur dan Buah Bumbu","Totole Kaldu Jamur",2,"kg",121000,242000,0
"2026-06-11","INV/2026/06/0150","Puji Sayur dan Buah Bumbu","Saori Saos Tiram",3,"liter",55000,165000,0
"2026-06-11","INV/2026/06/0151","Puji Sayur dan Buah Bumbu","Madras Curry Powder 250gr",6,"botol",25000,150000,0
"2026-06-11","INV/2026/06/0151","Puji Sayur dan Buah Bumbu","Knorr Rostip",1,"kg",72000,72000,0
"2026-06-17","INV/2026/06/0152","Puji Sayur dan Buah Bumbu","Asam Jawa",1,"kg",45000,45000,0
"2026-06-17","INV/2026/06/0152","Puji Sayur dan Buah Bumbu","Terasi Udang 250gr",4,"pcs",13000,52000,0
"2026-06-17","INV/2026/06/0152","Puji Sayur dan Buah Bumbu","Knorr Rostip",1,"kg",72000,72000,0
"2026-06-17","INV/2026/06/0152","Puji Sayur dan Buah Bumbu","Saos Sambal Del Monte",1,"jirigen",123000,123000,0
"2026-06-17","INV/2026/06/0152","Puji Sayur dan Buah Bumbu","Saos Tiram",2,"liter",55000,110000,0
"2026-06-17","INV/2026/06/0153","Puji Sayur dan Buah Bumbu","Knoor chicken",2,"kg",101000,202000,0
"2026-06-17","INV/2026/06/0153","Puji Sayur dan Buah Bumbu","Totole ",2,"kg",121000,242000,0
"2026-06-17","INV/2026/06/0153","Puji Sayur dan Buah Bumbu","Bawang putih bubuk 250gr",1,"Pcs",46000,46000,0
"2026-06-16","INV/2026/06/0154","Ida Minyak","Minyak Goreng",50,"liter",18500,925000,0
"2026-06-16","INV/2026/06/0155","Ida Minyak","Minyak Goreng",20,"liter",18500,370000,0
"2026-06-17","INV/2026/06/0156","Ida Minyak","Minyak",60,"ltr",18500,1110000,0
"2026-06-17","INV/2026/06/0157","Ida Minyak","Minyak",40,"ltr",18500,740000,0
"2026-06-17","INV/2026/06/0158","Rom Sembako","Ajinomoto",1,"kg",50000,50000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Ladaku bubuk 1/4",1,"Pcs",100000,100000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Kecap manis sawi refil 1,5kg",10,"Pcs",38000,380000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Kunyit bubuk 1/4",1,"Pcs",45000,45000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Gulo tebu",4,"kg",13000,52000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Ketumbar bubuk 1/4",1,"Pcs",20000,20000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Tepung terigu",5,"kg",9300,46500,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Tepung panir",10,"kg",17500,175000,0
"2026-06-17","INV/2026/06/0159","Rom Sembako","Desaku marinasi",2,"rtg",10000,20000,0
"2026-06-17","INV/2026/06/0160","Muchsieun Gas","Gas pink",5,"tbg",230000,1150000,0
"2026-06-17","INV/2026/06/0161","April Tahu","Tahu putih besar",1000,"Pcs",1000,1000000,0
"2026-06-17","INV/2026/06/0162","Yosua Buah","Melon",262,"kg",11500,3013000,0
"2026-06-17","INV/2026/06/0163","Yosua Buah","Anggur Muscat",19,"krat",445000,8455000,0
"2026-06-17","INV/2026/06/0164","Sumber Biru Unggas","Ayam fillet",151.79,"kg",40000,6071600,0
"2026-06-17","INV/2026/06/0165","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-17","INV/2026/06/0166","Rudi Beras","Beras",110,"kg",14000,1540000,0
"2026-06-17","INV/2026/06/0167","Tedy Telur","Telur ayam",80,"kg",23500,1880000,0
"2026-06-17","INV/2026/06/0168","Tedy Telur","Telur Ayam",1,"kg",23500,23500,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Tahu besar",200,"biji",1200,240000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Tahu kecil",1200,"biji",800,960000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Telur ayam",6,"kg",27000,162000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Tahu putih",50,"biji",1500,75000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Kunyit bubuk",10,"rtg",10000,100000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Bawang bombay",5,"kg",37000,185000,0
"2026-06-17","INV/2026/06/0169","Yuyun Pagu","Tepung tapioka",7,"kg",10000,70000,0
"2026-06-17","INV/2026/06/0170","Lailita Ngasem","Tempe",95,"Pcs",12000,1140000,0
"2026-06-16","INV/2026/06/0171","Yeni Ayam","Ayam Cut 10",224,"kg",32000,7168000,0
"2026-06-16","INV/2026/06/0172","Rom Sembako","Kunyit Bubuk 250gr",2,"pack",45000,90000,0
"2026-06-16","INV/2026/06/0172","Rom Sembako","Ajinomoto",1,"kg",50000,50000,0
"2026-06-16","INV/2026/06/0172","Rom Sembako","Garam",1,"ball",35000,35000,0
"2026-06-16","INV/2026/06/0172","Rom Sembako","Gula",20,"kg",16500,330000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Teh Celup Sariwangi",2,"pack",6000,12000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Kecap Manis Sawi 15kg",7,"pcs",38000,266000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Garam Kapal",5,"pcs",1800,9000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Gula Pasir",5,"kg",16600,83000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Ladaku Merica Bubuk 250gr",1,"pcs",100000,100000,0
"2026-06-16","INV/2026/06/0173","Rom Sembako","Tusuk Sate",12,"pack",14000,168000,0
"2026-06-16","INV/2026/06/0174","Puji Sayur dan Buah Bumbu","Saos Tomat Delmonte 67kg",1,"jirigen",102000,102000,0
"2026-06-16","INV/2026/06/0174","Puji Sayur dan Buah Bumbu","Knorr Rostip",1,"kg",75000,75000,0
"2026-06-18","INV/2026/06/0175","Puji Sayur dan Buah Bumbu","Knorr Chicken",5,"kg",101000,505000,0
"2026-06-18","INV/2026/06/0175","Puji Sayur dan Buah Bumbu","Totole Kaldu Jamur",1,"kg",121000,121000,0
"2026-06-18","INV/2026/06/0176","Supplier Roti Burger","Roti Bun",2140,"Pcs",1650,3531000,0
"2026-06-18","INV/2026/06/0177","Rom Sembako","Mentega Bluben",3,"kg",34000,102000,0
"2026-06-18","INV/2026/06/0177","Rom Sembako","Maizena",3,"kg",13500,40500,0
"2026-06-18","INV/2026/06/0178","Muchsieun Gas","Gas pink",3,"tbg",230000,690000,0
